CANDIDATO_CODIGO,CANDIDATO_NOMBRE,OP_CODIGO,DIGNIDAD_CODIGO,DIGNIDAD_NOMBRE,PROVINCIA_CODIGO,PROVINCIA_NOMBRE,CANTON_CODIGO,CANTON_NOMBRE,CIRCUNSCRIPCION_CODIGO,CICUNSCRIPCION_NOMBRE,CIRCUNSCRIPCION,PARROQUIA_CODIGO,PARROQUIA_NOMBRE,JUNTA_SEXO,SUFRAGANTES,BLANCOS,NULOS,VOTOS
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,2480.0,MULALO,M,3217.0,278.0,503.0,738.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,2620.0,11 DE NOVIEMBRE,F,871.0,84.0,133.0,188.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,2620.0,11 DE NOVIEMBRE,M,855.0,45.0,84.0,200.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,2920.0,POALO,F,2066.0,321.0,305.0,614.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,2920.0,POALO,M,2170.0,208.0,266.0,676.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,3530.0,SAN JUAN DE PASTOCALLE,F,4314.0,544.0,576.0,1335.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,3530.0,SAN JUAN DE PASTOCALLE,M,3588.0,376.0,512.0,1043.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,3965.0,TANICUCHI,F,4938.0,440.0,672.0,1792.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,3965.0,TANICUCHI,M,4661.0,306.0,698.0,1558.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,4035.0,TOACAZO,F,4544.0,847.0,842.0,1037.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,4035.0,TOACAZO,M,4042.0,579.0,647.0,998.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,5310.0,ELOY ALFARO / SAN FELIPE,F,12958.0,827.0,1861.0,2667.0
49.0,JORGE GUAMAN,511.0,2.0,PREFECTO Y VICEPREFECTO,5.0,COTOPAXI,100.0,LATACUNGA,0.0,0.0,,5310.0,ELOY ALFARO / SAN FELIPE,M,11600.0,589.0,1611.0,2188.0
